path,participant_id,sequence_id,sign,label
train_landmark_files/28656/3504209118.parquet,28656,3504209118,grandma,99
train_landmark_files/37779/597953520.parquet,37779,597953520,sleep,199
train_landmark_files/36257/3735480346.parquet,36257,3735480346,room,188
train_landmark_files/34503/4228571460.parquet,34503,4228571460,empty,70
train_landmark_files/61333/3093839666.parquet,61333,3093839666,sad,189
train_landmark_files/62590/1027923845.parquet,62590,1027923845,zipper,249
train_landmark_files/27610/2842425792.parquet,27610,2842425792,zebra,248
train_landmark_files/16069/1262036628.parquet,16069,1262036628,hen,114
train_landmark_files/32319/3866553334.parquet,32319,3866553334,find,78
train_landmark_files/61333/1150824385.parquet,61333,1150824385,napkin,151
train_landmark_files/4718/3722649262.parquet,4718,3722649262,child,42
train_landmark_files/36257/855294476.parquet,36257,855294476,haveto,109
train_landmark_files/53618/1106188738.parquet,53618,1106188738,pretend,177
train_landmark_files/32319/3841657400.parquet,32319,3841657400,thirsty,218
train_landmark_files/32319/324454876.parquet,32319,324454876,after,1
train_landmark_files/34503/1939277730.parquet,34503,1939277730,please,173
train_landmark_files/16069/1004211348.parquet,16069,1004211348,bug,32
train_landmark_files/49445/232153816.parquet,49445,232153816,fine,79
train_landmark_files/28656/1813832818.parquet,28656,1813832818,car,36
train_landmark_files/30680/1477242352.parquet,30680,1477242352,lips,134
train_landmark_files/16069/3579963080.parquet,16069,3579963080,hesheit,115
train_landmark_files/27610/4245159292.parquet,27610,4245159292,head,110
train_landmark_files/4718/2370289106.parquet,4718,2370289106,close,46
train_landmark_files/53618/1995128868.parquet,53618,1995128868,goose,98
train_landmark_files/55372/64237320.parquet,55372,64237320,zebra,248
train_landmark_files/49445/2640908995.parquet,49445,2640908995,wake,233
train_landmark_files/2044/2567332279.parquet,2044,2567332279,pretty,178
train_landmark_files/28656/2603700153.parquet,28656,2603700153,cereal,39
train_landmark_files/49445/3530495864.parquet,49445,3530495864,person,170
train_landmark_files/37055/2557199539.parquet,37055,2557199539,toy,226
train_landmark_files/34503/2726592043.parquet,34503,2726592043,garbage,91
train_landmark_files/53618/3527190162.parquet,53618,3527190162,car,36
train_landmark_files/62590/1634603829.parquet,62590,1634603829,make,139
train_landmark_files/27610/863045949.parquet,27610,863045949,now,157
train_landmark_files/37055/372317808.parquet,37055,372317808,airplane,2
train_landmark_files/55372/130222004.parquet,55372,130222004,hen,114
train_landmark_files/18796/2136287992.parquet,18796,2136287992,up,230
train_landmark_files/32319/4050811866.parquet,32319,4050811866,touch,225
train_landmark_files/22343/1680784761.parquet,22343,1680784761,every,71
train_landmark_files/36257/1143268892.parquet,36257,1143268892,sad,189
train_landmark_files/25571/1207120070.parquet,25571,1207120070,ear,68
train_landmark_files/27610/1928071074.parquet,27610,1928071074,glasswindow,96
train_landmark_files/55372/2110874247.parquet,55372,2110874247,zebra,248
train_landmark_files/25571/1081863238.parquet,25571,1081863238,backyard,12
train_landmark_files/37779/4175034329.parquet,37779,4175034329,bee,19
train_landmark_files/28656/1445713085.parquet,28656,1445713085,rain,183
train_landmark_files/26734/3289435806.parquet,26734,3289435806,goose,98
train_landmark_files/55372/2353674976.parquet,55372,2353674976,why,240
train_landmark_files/18796/3393861170.parquet,18796,3393861170,rain,183
train_landmark_files/28656/110048627.parquet,28656,110048627,table,211
train_landmark_files/26734/32560981.parquet,26734,32560981,lion,133
train_landmark_files/26734/1650918120.parquet,26734,1650918120,penny,169
train_landmark_files/61333/3498461871.parquet,61333,3498461871,donkey,60
train_landmark_files/29302/9014318.parquet,29302,9014318,girl,94
train_landmark_files/32319/1871854108.parquet,32319,1871854108,fireman,82
train_landmark_files/26734/2132878589.parquet,26734,2132878589,close,46
train_landmark_files/37055/297081252.parquet,37055,297081252,garbage,91
train_landmark_files/29302/3569777020.parquet,29302,3569777020,food,87
train_landmark_files/37779/1949740553.parquet,37779,1949740553,flower,86
train_landmark_files/37779/2518731557.parquet,37779,2518731557,chocolate,44
train_landmark_files/62590/1858702354.parquet,62590,1858702354,old,159
train_landmark_files/25571/3141667743.parquet,25571,3141667743,wake,233
train_landmark_files/61333/405909968.parquet,61333,405909968,bath,15
train_landmark_files/22343/3065230547.parquet,22343,3065230547,grandpa,100
train_landmark_files/28656/1217572497.parquet,28656,1217572497,tiger,219
train_landmark_files/61333/2923888171.parquet,61333,2923888171,every,71
train_landmark_files/28656/3055902712.parquet,28656,3055902712,think,217
train_landmark_files/28656/2056735001.parquet,28656,2056735001,ear,68
train_landmark_files/37055/1885095515.parquet,37055,1885095515,radio,182
train_landmark_files/18796/2684617227.parquet,18796,2684617227,bird,23
train_landmark_files/62590/37353424.parquet,62590,37353424,face,73
train_landmark_files/36257/2667965948.parquet,36257,2667965948,empty,70
