,precision,recall,f1-score,support
TV,0.8461538461538461,0.8918918918918919,0.868421052631579,37.0
after,0.6756756756756757,0.7142857142857143,0.6944444444444444,35.0
airplane,0.9743589743589743,0.95,0.9620253164556962,40.0
all,0.7419354838709677,0.5897435897435898,0.6571428571428573,39.0
alligator,0.8378378378378378,0.7948717948717948,0.8157894736842105,39.0
animal,0.7837837837837838,0.8285714285714286,0.8055555555555555,35.0
another,0.6744186046511628,0.7837837837837838,0.725,37.0
any,0.7222222222222222,0.7428571428571429,0.732394366197183,35.0
apple,0.9722222222222222,0.9459459459459459,0.9589041095890412,37.0
arm,0.7804878048780488,0.8888888888888888,0.8311688311688312,36.0
aunt,0.8333333333333334,0.9210526315789473,0.875,38.0
awake,0.4666666666666667,0.3684210526315789,0.4117647058823529,38.0
backyard,0.8846153846153846,0.6216216216216216,0.7301587301587302,37.0
bad,0.8181818181818182,0.7297297297297297,0.7714285714285715,37.0
balloon,0.918918918918919,0.8717948717948718,0.8947368421052632,39.0
bath,0.7272727272727273,0.7058823529411765,0.7164179104477613,34.0
because,0.9696969696969697,0.8,0.8767123287671234,40.0
bed,0.7317073170731707,0.8571428571428571,0.7894736842105263,35.0
bedroom,0.6785714285714286,0.5,0.5757575757575758,38.0
bee,0.875,0.9459459459459459,0.9090909090909091,37.0
before,0.7741935483870968,0.6857142857142857,0.7272727272727272,35.0
beside,0.39473684210526316,0.4838709677419355,0.43478260869565216,31.0
better,0.8205128205128205,0.8888888888888888,0.8533333333333333,36.0
bird,0.875,0.875,0.875,40.0
black,0.8974358974358975,0.9210526315789473,0.9090909090909091,38.0
blow,0.8918918918918919,0.8461538461538461,0.868421052631579,39.0
blue,0.7608695652173914,0.9722222222222222,0.853658536585366,36.0
boat,0.8571428571428571,0.8108108108108109,0.8333333333333334,37.0
book,0.6756756756756757,0.7142857142857143,0.6944444444444444,35.0
boy,0.75,0.9473684210526315,0.8372093023255814,38.0
brother,0.8947368421052632,0.85,0.8717948717948718,40.0
brown,0.9743589743589743,0.95,0.9620253164556962,40.0
bug,0.875,0.9210526315789473,0.8974358974358975,38.0
bye,0.8636363636363636,0.926829268292683,0.8941176470588236,41.0
callonphone,0.9736842105263158,1.0,0.9866666666666666,37.0
can,0.7142857142857143,0.6944444444444444,0.7042253521126761,36.0
car,0.7560975609756098,0.8611111111111112,0.8051948051948052,36.0
carrot,0.9117647058823529,0.8157894736842105,0.861111111111111,38.0
cat,0.7894736842105263,0.7692307692307693,0.7792207792207793,39.0
cereal,0.875,0.7368421052631579,0.7999999999999999,38.0
chair,0.7857142857142857,0.8918918918918919,0.8354430379746834,37.0
cheek,0.8235294117647058,0.7567567567567568,0.7887323943661971,37.0
child,0.6,0.6176470588235294,0.608695652173913,34.0
chin,0.8064516129032258,0.7575757575757576,0.7812499999999999,33.0
chocolate,0.918918918918919,0.918918918918919,0.918918918918919,37.0
clean,0.675,0.7941176470588235,0.7297297297297296,34.0
close,0.78125,0.6756756756756757,0.7246376811594203,37.0
closet,0.868421052631579,0.8918918918918919,0.88,37.0
cloud,0.775,0.8157894736842105,0.7948717948717949,38.0
clown,0.9743589743589743,0.9743589743589743,0.9743589743589743,39.0
cow,0.9473684210526315,0.9,0.9230769230769231,40.0
cowboy,0.9714285714285714,0.8947368421052632,0.9315068493150684,38.0
cry,0.8484848484848485,0.717948717948718,0.7777777777777778,39.0
cut,0.7419354838709677,0.6571428571428571,0.6969696969696969,35.0
cute,0.9166666666666666,0.8918918918918919,0.9041095890410958,37.0
dad,0.8648648648648649,0.8421052631578947,0.8533333333333334,38.0
dance,0.5306122448979592,0.8387096774193549,0.65,31.0
dirty,0.7380952380952381,0.8611111111111112,0.7948717948717949,36.0
dog,0.8205128205128205,0.8648648648648649,0.8421052631578947,37.0
doll,0.9512195121951219,0.975,0.9629629629629629,40.0
donkey,0.8372093023255814,0.9230769230769231,0.878048780487805,39.0
down,0.7435897435897436,0.90625,0.8169014084507042,32.0
drawer,0.8611111111111112,0.8611111111111112,0.8611111111111112,36.0
drink,0.9487179487179487,0.925,0.9367088607594937,40.0
drop,0.6666666666666666,0.7058823529411765,0.6857142857142857,34.0
dry,0.8205128205128205,0.8205128205128205,0.8205128205128205,39.0
dryer,0.84375,0.7297297297297297,0.7826086956521738,37.0
duck,0.7804878048780488,0.7804878048780488,0.7804878048780488,41.0
ear,0.8378378378378378,0.8378378378378378,0.8378378378378378,37.0
elephant,0.8823529411764706,0.8108108108108109,0.8450704225352113,37.0
empty,0.7931034482758621,0.6388888888888888,0.7076923076923076,36.0
every,0.9117647058823529,0.8378378378378378,0.8732394366197184,37.0
eye,0.84375,0.6923076923076923,0.7605633802816902,39.0
face,0.75,0.6486486486486487,0.6956521739130435,37.0
fall,0.8484848484848485,0.7368421052631579,0.7887323943661972,38.0
farm,0.8947368421052632,0.85,0.8717948717948718,40.0
fast,0.8823529411764706,0.8333333333333334,0.8571428571428571,36.0
feet,0.8333333333333334,0.6944444444444444,0.7575757575757577,36.0
find,0.875,0.875,0.875,40.0
fine,0.8285714285714286,0.8285714285714286,0.8285714285714286,35.0
finger,0.75,0.7105263157894737,0.7297297297297298,38.0
finish,0.7857142857142857,0.8461538461538461,0.8148148148148148,39.0
fireman,0.95,0.926829268292683,0.9382716049382716,41.0
first,0.8604651162790697,0.925,0.891566265060241,40.0
fish,0.6744186046511628,0.7631578947368421,0.7160493827160495,38.0
flag,0.8888888888888888,0.8421052631578947,0.8648648648648649,38.0
flower,0.918918918918919,0.8947368421052632,0.9066666666666667,38.0
food,0.7608695652173914,0.8974358974358975,0.8235294117647058,39.0
for,0.9024390243902439,0.9736842105263158,0.9367088607594938,38.0
frenchfries,0.8461538461538461,0.8461538461538461,0.8461538461538461,39.0
frog,0.9743589743589743,0.9743589743589743,0.9743589743589743,39.0
garbage,0.8611111111111112,0.8378378378378378,0.8493150684931507,37.0
gift,0.6346153846153846,0.868421052631579,0.7333333333333333,38.0
giraffe,0.9354838709677419,0.7837837837837838,0.8529411764705881,37.0
girl,0.7441860465116279,0.8421052631578947,0.7901234567901234,38.0
give,0.6428571428571429,0.5294117647058824,0.5806451612903226,34.0
glasswindow,0.7435897435897436,0.7435897435897436,0.7435897435897437,39.0
go,0.7142857142857143,0.6410256410256411,0.6756756756756757,39.0
goose,0.7368421052631579,0.7,0.717948717948718,40.0
grandma,0.8387096774193549,0.6842105263157895,0.7536231884057972,38.0
grandpa,0.8048780487804879,0.8918918918918919,0.8461538461538461,37.0
grass,0.9705882352941176,0.868421052631579,0.9166666666666667,38.0
green,0.8095238095238095,0.8947368421052632,0.8500000000000001,38.0
gum,0.9487179487179487,0.9487179487179487,0.9487179487179487,39.0
hair,1.0,0.8205128205128205,0.9014084507042254,39.0
happy,0.7777777777777778,0.7777777777777778,0.7777777777777778,36.0
hat,0.7105263157894737,0.7941176470588235,0.7499999999999999,34.0
hate,0.7567567567567568,0.8,0.7777777777777778,35.0
have,0.7428571428571429,0.7647058823529411,0.7536231884057971,34.0
haveto,0.7941176470588235,0.7941176470588235,0.7941176470588235,34.0
head,0.875,0.9210526315789473,0.8974358974358975,38.0
hear,0.868421052631579,0.8048780487804879,0.8354430379746836,41.0
helicopter,0.8709677419354839,0.7297297297297297,0.7941176470588235,37.0
hello,0.9473684210526315,0.9230769230769231,0.935064935064935,39.0
hen,0.9444444444444444,0.8947368421052632,0.918918918918919,38.0
hesheit,0.84375,0.7941176470588235,0.8181818181818182,34.0
hide,0.7575757575757576,0.6944444444444444,0.7246376811594203,36.0
high,0.8780487804878049,0.972972972972973,0.923076923076923,37.0
home,0.9,0.9230769230769231,0.9113924050632911,39.0
horse,0.9473684210526315,0.9230769230769231,0.935064935064935,39.0
hot,0.9210526315789473,0.9210526315789473,0.9210526315789473,38.0
hungry,0.8461538461538461,0.8461538461538461,0.8461538461538461,39.0
icecream,0.8666666666666667,0.975,0.9176470588235294,40.0
if,0.9393939393939394,0.8611111111111112,0.8985507246376813,36.0
into,0.5384615384615384,0.5833333333333334,0.5599999999999999,36.0
jacket,0.5957446808510638,0.8235294117647058,0.691358024691358,34.0
jeans,0.8,0.631578947368421,0.7058823529411765,38.0
jump,0.7575757575757576,0.6578947368421053,0.704225352112676,38.0
kiss,0.7608695652173914,0.875,0.813953488372093,40.0
kitty,0.8235294117647058,0.7368421052631579,0.7777777777777778,38.0
